Name,Gender,Initials
USHAKANTA,0,USHA
USHENYA,0,USHE
USHIJ,0,USHI
USHNIK,0,USHN
USLUNAN,0,USLU
USMAN,0,USMA
UTANKA,0,UTAN
UTHAM,0,UTHA
UTHIRA,0,UTHI
UTHKARSH,0,UTHK
UTHMAN,0,UTHM
UTKAL,0,UTKA
UTKRISHTA,0,UTKR
UTPAL,0,UTPA
UTSAH,0,UTSA
UTTAL,0,UTTA
UTTIYA,0,UTTI
UBAHARAN,0,UBAH
UBANEYAN,0,UBAN
UBENDRAN,0,UBEN
UBESH,0,UBES
UBHANAEYA,0,UBHA
UGAASHAN,0,UGAA
UGAJITH,0,UGAJ
UGESH,0,UGES
UHMIYAWAN,0,UHMI
UKESH,0,UKES
UKKIRAN,0,UKKI
ULAKANAMPI,0,ULAK
UMAAR,0,UMAA
UMABALAN,0,UMAB
UMAESH,0,UMAE
UMATHARAN,0,UMAT
UMEASH,0,UMEA
UMMAIYAL,0,UMMA
UMNESH,0,UMNE
UNESH,0,UNES
UNIKRISHNAN,0,UNIK
UPHENDHRA,0,UPHE
UPOL,0,UPOL
URENUKA,0,UREN
URNIK,0,URNI
USDHARSHAN,0,USDH
UTHEESH,0,UTHE
UTHRALINGAM,0,UTHR
UTHTHAMAN,0,UTHT
UTHVIK,0,UTHV
UTRRAN,0,UTRR
UTSHAVEN,0,UTSH
UVAN,0,UVAN
UVARAJ,0,UVAR
UVENDRA,0,UVEN
UYIRAALAN,0,UYIR
UZANTHAN,0,UZAN
VAACHASPATI,0,VAAC
VAAGEESH,0,VAAG
VAAKAISOODI,0,VAAK
VAALAKY,0,VAAL
VAAMAN,0,VAAM
VAANAN,0,VAAN
VAARIDHAR,0,VAAR
VAASANTHI,0,VAAS
VAATHAVEGA,0,VAAT
VAAYU,0,VAAY
VACHAN,0,VACH
VADANYA,0,VADA
VADIN,0,VADI
VAENGAI,0,VAEN
VAETTIYARASAN,0,VAET
VAGADHEEKSHA,0,VAGA
VAGESH,0,VAGE
VAGINDRA,0,VAGI
VAGMINE,0,VAGM
VAHIN,0,VAHI
VAIBHAV,0,VAIB
VAIDAT,0,VAID
VAIJAYI,0,VAIJ
VAIKAICHELVAN,0,VAIK
VAINAVIN,0,VAIN
VAIRAG,0,VAIR
VAISAK,0,VAIS
VAIVASWATHA,0,VAIV
VAIWASWAT,0,VAIW
VAIYAHAN,0,VAIY
VAJASANI,0,VAJA
VAJENDRA,0,VAJE
VAJINATH,0,VAJI
VAJRAANG,0,VAJR
VAKPATI,0,VAKP
VAKRABHUJ,0,VAKR
VAKSH,0,VAKS
VAKUL,0,VAKU
VALAAK,0,VALA
VALDAS,0,VALD
VALI,0,VALI
VALLABH,0,VALL
VALMEKI,0,VALM
VAMADEV,0,VAMA
VAMDEV,0,VAMD
VAMSEEDHAR,0,VAMS
