Name,Gender,Initials
NUTAN,1,NUTA
NUTI,1,NUTI
NYASA,1,NYAS
NYAYA,1,NYAY
NYMISHA,1,NYMI
NYSA,1,NYSA
NYSHA,1,NYSH
NAEHAA,1,NAEH
NAESHA,1,NAES
NAILIKA,1,NAIL
NAJITHA,1,NAJI
NALMIKA,1,NALM
NAMSHANA,1,NAMS
NANEYA,1,NANE
NANILA,1,NANI
NANOOMI,1,NANO
NARLINI,1,NARL
NASRIN,1,NASR
NASYANTHA,1,NASY
NATSHITHA,1,NATS
NAWINEESH,1,NAWI
NAZHINI,1,NAZH
NEAHAA,1,NEAH
NEARUJA,1,NEAR
NEDARSHANA,1,NEDA
NEEJA,1,NEEJ
NEGHA,1,NEGH
NEHTHRA,1,NEHT
NEHUNA,1,NEHU
NEKHA,1,NEKH
NELUJA,1,NELU
NENITA,1,NENI
NERTHAGI,1,NERT
NESOTHA,1,NESO
NHANDHANAA,1,NHAN
NIANA,1,NIAN
NIARA,1,NIAR
NIEKA,1,NIEK
NIETHA,1,NIET
NIJEE,1,NIJE
NILMATHI,1,NILM
NILVIKA,1,NILV
NIMSHI,1,NIMS
NIMTHA,1,NIMT
NIMYASHA,1,NIMY
NINDHUSHA,1,NIND
NINOSHA,1,NINO
NIRPANA,1,NIRP
NIRYUHA,1,NIRY
NISBIYA,1,NISB
NISKRUTI,1,NISK
NIVSHAYA,1,NIVS
NIVTHA,1,NIVT
NIXIA,1,NIXI
NIYOOTHENA,1,NIYO
NOBITA,1,NOBI
NOHA,1,NOHA
NOHITHA,1,NOHI
NOMA,1,NOMA
NOMESKA,1,NOME
NOMSHI,1,NOMS
NONIKAA,1,NONI
NOOLAKA,1,NOOL
NOOMIKA,1,NOOM
NUBEESHA,1,NUBE
NUBIRA,1,NUBI
NUGA,1,NUGA
NUHA,1,NUHA
NUMAIYARL,1,NUMA
NUMISHA,1,NUMI
NUNESKKA,1,NUNE
NURANI,1,NURA
NYDHILE,1,NYDH
NYESHA,1,NYES
NYISHITHA,1,NYIS
NYLA,1,NYLA
NYNEISHIA,1,NYNE
NYNIKA,1,NYNI
ODATHI,1,ODAT
ODITI,1,ODIT
ODOTI,1,ODOT
OESHI,1,OESH
OINDRILA,1,OIND
OISHANI,1,OISH
OJA,1,OJA
OJAL,1,OJAL
OLEVIA,1,OLEV
OLI,1,OLI
OLICHELVI,1,OLIC
OLIKKODI,1,OLIK
OLIMANNI,1,OLIM
OLIPAAVAI,1,OLIP
OLIYALAKI,1,OLIY
OMA,1,OMA
OMAIRA,1,OMAI
OMAJA,1,OMAJ
OMALA,1,OMAL
OMSAKTHI,1,OMSA
OMVATI,1,OMVA
OMYSHA,1,OMYS
