Name,Gender,Initials
DESPINA,1,DESP
DEVOSHRI,1,DEVO
DHEA,1,DHEA
DHENUKA,1,DHEN
DHLRITI,1,DHLR
DHNASHRI,1,DHNA
DHRASIKA,1,DHRA
DHUTHI,1,DHUT
DHVIJA,1,DHVI
DIA,1,DIA
DIDDA,1,DIDD
DIGISHA,1,DIGI
DIKI,1,DIKI
DIP,1,DIP
DIPIKA,1,DIPI
DIPU,1,DIPU
DITI,1,DITI
DITVI,1,DITV
DITYA,1,DITY
DIVVI,1,DIVV
DIYU,1,DIYU
DIZA,1,DIZA
DOHNA,1,DOHN
DOLIE,1,DOLI
DOLKAR,1,DOLK
DOLLY,1,DOLL
DONYA,1,DONY
DORIS,1,DORI
DOROTHY,1,DORO
DORRI,1,DORR
DOYEL,1,DOYE
DRASHTAA,1,DRAS
DRAUPADI,1,DRAU
DRIYA,1,DRIY
DROOTI,1,DROO
DRUCILLA,1,DRUC
DRUMI,1,DRUM
DRUTHI,1,DRUT
DUA,1,DUA
DUHITA,1,DUHI
DUMA,1,DUMA
DURRIYA,1,DURR
DUTI,1,DUTI
DVISHA,1,DVIS
DVITA,1,DVIT
DWIPAVATI,1,DWIP
DWISHA,1,DWIS
DWITI,1,DWIT
DAACHAYINY,1,DAAC
DACHSIYA,1,DACH
DAEDEEPYA,1,DAED
DAHMA,1,DAHM
DAKINI,1,DAKI
DANSHA,1,DANS
DARCIE,1,DARC
DARENYA,1,DARE
DASSHINI,1,DASS
DATCHAYANI,1,DATC
DATSHAYANI,1,DATS
DAVYSSA,1,DAVY
DAXA,1,DAXA
DAYOORIA,1,DAYO
DELOGA,1,DELO
DELVINA,1,DELV
DENYASREE,1,DENY
DEPANJILI,1,DEPA
DEPTHINISHA,1,DEPT
DESYA,1,DESY
DEVLEKHAA,1,DEVL
DEVWANTI,1,DEVW
DEYDEEPYA,1,DEYD
DEYONSHIKA,1,DEYO
DHACHAYANI,1,DHAC
DHEKASRI,1,DHEK
DHEPIKA,1,DHEP
DHIA,1,DHIA
DHOSHINEE,1,DHOS
DHRSHINI,1,DHRS
DHUJANA,1,DHUJ
DIHYA,1,DIHY
DIJOORIKA,1,DIJO
DILLANI,1,DILL
DIRISHA,1,DIRI
DIRSANA,1,DIRS
DIRUKSHA,1,DIRU
DISMITHA,1,DISM
DISSHANI,1,DISS
DIVUTHI,1,DIVU
DIWYA,1,DIWY
DOLESHWARI,1,DOLE
DONA,1,DONA
DOSHANA,1,DOSH
DOSIYA,1,DOSI
DRAKSHAYINI,1,DRAK
DRUSTY,1,DRUS
DUBITHRA,1,DUBI
DUBREE,1,DUBR
DUCITA,1,DUCI
DUHARA,1,DUHA
DUNISHA,1,DUNI
