Name,Gender,Initials
UTHYA,1,UTHY
UVA,1,UVA
UVAMAYA,1,UVAM
UVHARI,1,UVHA
UZAANA,1,UZAA
UZEETHA,1,UZEE
UZHAANI,1,UZHA
VADHANA,1,VADH
VAGDEVI,1,VAGD
VALSALA,1,VALS
VALVEZHI,1,VALV
VAMIKA,1,VAMI
VAMNAYI,1,VAMN
VANGMAYEE,1,VANG
VANHI,1,VANH
VANYA,1,VANY
VAPRA,1,VAPR
VARRUNAVI,1,VARR
VASVI,1,VASV
VATI,1,VATI
VATYA,1,VATY
VAYSHALI,1,VAYS
VEEHA,1,VEEH
VELCY,1,VELC
VELINI,1,VELI
VELVILI,1,VELV
VENBA,1,VENB
VENMALAR,1,VENM
VENYA,1,VENY
VERTIKA,1,VERT
VETALI,1,VETA
VIDWATH,1,VIDW
VIJU,1,VIJU
VILI,1,VILI
VIMPLE,1,VIMP
VINMAYA,1,VINM
VIONA,1,VION
VIPOOSITHA,1,VIPO
VIPSA,1,VIPS
VIRYA,1,VIRY
VISTARINI,1,VIST
VITI,1,VITI
VITNA,1,VITN
VRIDDHI,1,VRID
VRIHA,1,VRIH
VRNDAVANESVARI,1,VRND
VRUDDHI,1,VRUD
VRUTA,1,VRUT
VUNSHIKA,1,VUNS
VURNA,1,VURN
VYADHINASHINI,1,VYAD
VYGA,1,VYGA
VYJAYANTHI,1,VYJA
VAAJANA,1,VAAJ
VABHINAYA,1,VABH
VABUSHANA,1,VABU
VACKSHIDA,1,VACK
VAEDHAMITHRA,1,VAED
VAESHANA,1,VAES
VAHRISHA,1,VAHR
VAIMANYA,1,VAIM
VAKINI,1,VAKI
VALENTINA,1,VALE
VAMESHA,1,VAME
VARBINA,1,VARB
VARKAVI,1,VARK
VARLAKSHMI,1,VARL
VASNAVI,1,VASN
VAVANTHIKAA,1,VAVA
VAXSALA,1,VAXS
VEATHANA,1,VEAT
VEECHIKA,1,VEEC
VEEDHASREE,1,VEED
VEEVASHINI,1,VEEV
VEGETHA,1,VEGE
VEINI,1,VEIN
VEISNEVI,1,VEIS
VEKSHANA,1,VEKS
VEMEETHIKA,1,VEME
VENSHI,1,VENS
VERSANA,1,VERS
VEVEETHA,1,VEVE
VEVISHA,1,VEVI
VEYNIL,1,VEYN
VHENUREKA,1,VHEN
VHIRSHINI,1,VHIR
VIARA,1,VIAR
VIBRANA,1,VIBR
VICHITRA,1,VICH
VICITRA,1,VICI
VIDMAYI,1,VIDM
VIENIRTHA,1,VIEN
VIGENESWARY,1,VIGE
VIJJAYAASHRI,1,VIJJ
VIKKI,1,VIKK
VILESHA,1,VILE
VILSHANA,1,VILS
VIMMI,1,VIMM
VIMSHAYA,1,VIMS
VIMY,1,VIMY
