Name,Gender,Initials
ABBIR,0,ABBI
ABBOTT,0,ABBO
ABBUD,0,ABBU
ABDUL,0,ABDU
ABED,0,ABED
ABEER,0,ABEE
ABEL,0,ABEL
ABENAYAN,0,ABEN
ABEZAG,0,ABEZ
ABHAIDEV,0,ABHA
ABHIBHAVA,0,ABHI
ABHJEET,0,ABHJ
ABHOY,0,ABHO
ABHRA,0,ABHR
ABHU,0,ABHU
ABHYA,0,ABHY
ABID,0,ABID
ABIJITH,0,ABIJ
ABIMANYU,0,ABIM
ABINASH,0,ABIN
ABIRAM,0,ABIR
ABISALI,0,ABIS
ABIVANTH,0,ABIV
ABJAYONI,0,ABJA
ABJIT,0,ABJI
ABNER,0,ABNE
ABNINAYAN,0,ABNI
ABRA,0,ABRA
ABRIK,0,ABRI
ACALAPATI,0,ACAL
ACANDA,0,ACAN
ACARYANANDANA,0,ACAR
ACCHINDRA,0,ACCH
ACHAL,0,ACHA
ACHINDRA,0,ACHI
ACHUTHAN,0,ACHU
ACHYUT,0,ACHY
ACINTYA,0,ACIN
ACYUTARAYA,0,ACYU
ADALARACHAN,0,ADAL
ADAM,0,ADAM
ADARSH,0,ADAR
ADAVAN,0,ADAV
ADBHUTAH,0,ADBH
ADDISON,0,ADDI
ADEDEV,0,ADED
ADEEL,0,ADEE
ADEL,0,ADEL
ADENYA,0,ADEN
ADHAM,0,ADHA
ADHEER,0,ADHE
ADHIK,0,ADHI
ADHRIT,0,ADHR
ADHVAIT,0,ADHV
ADHYAN,0,ADHY
ADI,0,ADI
ADIB,0,ADIB
ADIDEV,0,ADID
ADIKAVI,0,ADIK
ADIMAN,0,ADIM
ADINATH,0,ADIN
ADIPURUSH,0,ADIP
ADISESH,0,ADIS
ADIT,0,ADIT
ADIV,0,ADIV
ADIYAMAN,0,ADIY
ADLER,0,ADLE
ADLIN,0,ADLI
ADNAN,0,ADNA
ADOTKA,0,ADOT
ADRAV,0,ADRA
ADRIAN,0,ADRI
ADRUSH,0,ADRU
ADTIYA,0,ADTI
ADVAIT,0,ADVA
ADVIK,0,ADVI
ADWAID,0,ADWA
ADWIK,0,ADWI
ADYANT,0,ADYA
AEKANSH,0,AEKA
AESHAN,0,AESH
AEYUSH,0,AEYU
AFEEF,0,AFEE
AFZAL,0,AFZA
AGAM,0,AGAM
AGANIT,0,AGAN
AGARV,0,AGAR
AGASTHYA,0,AGAS
AGATHI,0,AGAT
AGAVOLI,0,AGAV
AGENDRA,0,AGEN
AGHA,0,AGHA
AGHOR,0,AGHO
AGILAN,0,AGIL
AGNELLO,0,AGNE
AGNIBAHU,0,AGNI
AGRAJ,0,AGRA
AGRIM,0,AGRI
AGUSTYA,0,AGUS
AGYEYA,0,AGYE
