Name,Gender,Initials
YAANANTHAN,0,YAAN
YAAVAENTHAN,0,YAAV
YAAWINAN,0,YAAW
YAAZAN,0,YAAZ
YABISHAHAN,0,YABI
YADEV,0,YADE
YADVED,0,YADV
YAESHETH,0,YAES
YAETHEESH,0,YAET
YAGESH,0,YAGE
YAGHITHLAASH,0,YAGH
YAGITH,0,YAGI
YAHESH,0,YAHE
YAHILAN,0,YAHI
YAHMALAVAN,0,YAHM
YAHNAVAN,0,YAHN
YAHTHAVAN,0,YAHT
YAHULAN,0,YAHU
YAHYA,0,YAHY
YAISWANTH,0,YAIS
YAKASH,0,YAKA
YAKESH,0,YAKE
YAKKESH,0,YAKK
YALISAN,0,YALI
YALLVENDAN,0,YALL
YALMYNTHAN,0,YALM
YAMEELAN,0,YAME
YAMUNESH,0,YAMU
YANEESH,0,YANE
YANOBAN,0,YANO
YANTHARAN,0,YANT
YANUESH,0,YANU
YANYAN,0,YANY
YARAKUNAN,0,YARA
YARISARAN,0,YARI
YARMILAN,0,YARM
YARNEESH,0,YARN
YARSHAN,0,YARS
YARTHIKAN,0,YART
YARUBAN,0,YARU
YASAKAN,0,YASA
YASBAHARAN,0,YASB
YASENTHAN,0,YASE
YASMIKAN,0,YASM
YASNAJAN,0,YASN
YASOTH,0,YASO
YASSAN,0,YASS
YASUNTH,0,YASU
YASYANT,0,YASY
YATVIK,0,YATV
YAUWAN,0,YAUW
YAVEESHAN,0,YAVE
YAVIN,0,YAVI
YAVNEETH,0,YAVN
YAWANTHKUMAR,0,YAWA
YAYTHISH,0,YAYT
YAZHIARASAN,0,YAZH
YEATHEESHAN,0,YEAT
YEERTHAN,0,YEER
YEGALAIWAN,0,YEGA
YEIGAVAN,0,YEIG
YERUJAN,0,YERU
YESAN,0,YESA
YESMITHAN,0,YESM
YESURASA,0,YESU
YHATHUSHAN,0,YHAT
YHOGESH,0,YHOG
YITHEESH,0,YITH
YIVAASHAN,0,YIVA
YOGDEEP,0,YOGD
YOGHARASSAN,0,YOGH
YOGU,0,YOGU
YOHENDRAN,0,YOHE
YOHI,0,YOHI
YOHSHINI,0,YOHS
YOKACHSELVAN,0,YOKA
YOKEESAN,0,YOKE
YOKI,0,YOKI
YONENDRA,0,YONE
YORATHAN,0,YORA
YOSUVA,0,YOSU
YOSWEIN,0,YOSW
YOTHEEPAN,0,YOTH
YOUKESH,0,YOUK
YOVAN,0,YOVA
YOVIN,0,YOVI
YUAN,0,YUAN
YUDEEP,0,YUDE
YUHENDIRAN,0,YUHE
YUHITHAN,0,YUHI
YUKADEV,0,YUKA
YUKEN,0,YUKE
YUKHAN,0,YUKH
YUKITHAN,0,YUKI
YUMIT,0,YUMI
YUNESH,0,YUNE
YUTHAN,0,YUTH
YUVNIK,0,YUVN
YUWIN,0,YUWI
YVARAJ,0,YVAR
