Name,Gender,Initials
DUPEENI,1,DUPE
DUSAA,1,DUSA
DUSI,1,DUSI
DUSMI,1,DUSM
DUVEENA,1,DUVE
DVIYA,1,DVIY
DYENA,1,DYEN
DYLA,1,DYLA
DYSHINI,1,DYSH
EAELLISAICHELVI,1,EAEL
EAENTHILLAI,1,EAEN
EBBANI,1,EBBA
ECCHUMATI,1,ECCH
ECHO,1,ECHO
EDA,1,EDA
EDANA,1,EDAN
EDELINE,1,EDEL
EDITH,1,EDIT
EDLYN,1,EDLY
EDNA,1,EDNA
EDWINA,1,EDWI
EEDHA,1,EEDH
EEHAVARASI,1,EEHA
EENAKSHI,1,EENA
EERPARASI,1,EERP
EERSHITA,1,EERS
EETHALARASI,1,EETH
EFFIE,1,EFFI
EHYINI,1,EHYI
EILA,1,EILA
ILA,1,ILA
EILEEN,1,EILE
EILIYAH,1,EILI
EIMAAN,1,EIMA
EIRAM,1,EIRA
EISHA,1,EISH
EKA,1,EKA
EKSHIKA,1,EKSH
EKTA,1,EKTA
EKVEERA,1,EKVE
ELA,1,ELA
ELAHEH,1,ELAH
ELEANOR,1,ELEA
ELETHIA,1,ELET
ELGA,1,ELGA
ELHAM,1,ELHA
ELIKA,1,ELIK
ELINA,1,ELIN
ELIZA,1,ELIZ
ELMA,1,ELMA
ELNA,1,ELNA
EMILY,1,EMIL
ENA,1,ENA
ENAKSHI,1,ENAK
ENOSH,1,ENOS
EPSHITA,1,EPSH
ERA,1,ERA
ERIN,1,ERIN
ERITHALLAL,1,ERIT
ERUM,1,ERUM
ESHMA,1,ESHM
ESHNA,1,ESHN
ESITA,1,ESIT
ETA,1,ETA
EVA,1,EVA
EVANGELIN,1,EVAN
EZRINE,1,EZRI
EZZAH,1,EZZA
EALISHAI,1,EALI
EALLILALAGI,1,EALL
EANISKA,1,EANI
EANJALIN,1,EANJ
EASMATARA,1,EASM
EAYANA,1,EAYA
EENUKA,1,EENU
EEZHAVATHANI,1,EEZH
EGANTHI,1,EGAN
EHARSHITHA,1,EHAR
EINIYA,1,EINI
EJAANI,1,EJAA
EKROOP,1,EKRO
ELADCHIYA,1,ELAD
ELAPPRIYA,1,ELAP
ELBINA,1,ELBI
ELEKAYA,1,ELEK
ELIYA,1,ELIY
ELOKITHA,1,ELOK
ELUTHINI,1,ELUT
EMAVATHY,1,EMAV
EMEYAA,1,EMEY
ENANYA,1,ENAN
ENEYA,1,ENEY
ENITHA,1,ENIT
ENJALA,1,ENJA
ENNAIYA,1,ENNA
ENOKA,1,ENOK
ENSIGA,1,ENSI
ENYA,1,ENYA
ERANDIKA,1,ERAN
EROSHI,1,EROS
