Name,Gender,Initials
MUKHESH,0,MUKH
MULARK,0,MULA
MULLAIVENTHAN,0,MULL
MUPEKSAN,0,MUPE
MURESH,0,MURE
MURKESH,0,MURK
MURRUGAN,0,MURR
MUSHIHAN,0,MUSH
MUSTU,0,MUST
MUSURI,0,MUSU
MUTAMILAN,0,MUTA
MUVENTHAN,0,MUVE
MUZAFFAR,0,MUZA
MYDREYAN,0,MYDR
MYILONE,0,MYIL
MYLAN,0,MYLA
MYLUAHANAN,0,MYLU
MYURATHAN,0,MYUR
NAABHAK,0,NAAB
NAAG,0,NAAG
NAAKESH,0,NAAK
NAAMDEV,0,NAAM
NAANAK,0,NAAN
NAARAAYAN,0,NAAR
NAATHAN,0,NAAT
NAAVALAN,0,NAAV
NAAYAGAN,0,NAAY
NABARUN,0,NABA
NABENDU,0,NABE
NABH,0,NABH
NABIL,0,NABI
NACHIK,0,NACH
NADAL,0,NADA
NADEEN,0,NADE
NADIN,0,NADI
NAGA,0,NAGA
NAGDHAR,0,NAGD
NAGENDRA,0,NAGE
NAGGAR,0,NAGG
NAGMANI,0,NAGM
NAGNATH,0,NAGN
NAGPAL,0,NAGP
NAGRAJ,0,NAGR
NAGSEN,0,NAGS
NAGULAN,0,NAGU
NAHUSH,0,NAHU
NAIMESH,0,NAIM
NAINISH,0,NAIN
NAIR,0,NAIR
NAISHADH,0,NAIS
NAITIK,0,NAIT
NAIVADYA,0,NAIV
NAIYAH,0,NAIY
NAKHRAJ,0,NAKH
NAKKEERAN,0,NAKK
NAKSA,0,NAKS
NAKUL,0,NAKU
NAL,0,NAL
NALAN,0,NALA
NALESH,0,NALE
NALIN,0,NALI
NALLAMUTHU,0,NALL
NAMAHA,0,NAMA
NAMBAN,0,NAMB
NAMDEV,0,NAMD
NAMEETH,0,NAME
NAMISH,0,NAMI
NANA,0,NANA
NAND,0,NAND
NANKU,0,NANK
NANNAN,0,NANN
NANTHA,0,NANT
NAOTAU,0,NAOT
NARAD,0,NARA
NARSIMHA,0,NARS
NAREN,0,NARE
NARINDER,0,NARI
NARHARI,0,NARH
NARMAD,0,NARM
NAROTTAM,0,NARO
NARPATHI,0,NARP
NARRESH,0,NARR
NARTANAN,0,NART
NARUN,0,NARU
NASHAL,0,NASH
NASIM,0,NASI
NASEER,0,NASE
NASSER,0,NASS
NATALIA,0,NATA
NATESH,0,NATE
NATH,0,NATH
NATRAJ,0,NATR
NATWAR,0,NATW
NAUBAHAR,0,NAUB
NAUHAR,0,NAUH
NAUNIDH,0,NAUN
NAUSAD,0,NAUS
NAV,0,NAV
NAVADEEP,0,NAVA
NAVDIP,0,NAVD
