Name,Gender,Initials
INIGHA,1,INIG
INIMAI,1,INIM
INIRAH,1,INIR
INISHA,1,INIS
INITHAA,1,INIT
INNUJA,1,INNU
INNYA,1,INNY
INOKA,1,INOK
INSHANA,1,INSH
INTRAJA,1,INTR
INUSHA,1,INUS
IREENA,1,IREE
IRUTHAYA,1,IRUT
IRWIN,1,IRWI
ISARA,1,ISAR
ISEWARYA,1,ISEW
ISHHANI,1,ISHH
ISHVA,1,ISHV
ISNADEVI,1,ISNA
ISRUTHIKA,1,ISRU
ISVARI,1,ISVA
ITEESHA,1,ITEE
IYNTHURY,1,IYNT
IYRA,1,IYRA
IZARA,1,IZAR
JAADHINI,1,JAAD
JABA,1,JABA
JABEEN,1,JABE
JABINA,1,JABI
JAGISH,1,JAGI
JAJWALYA,1,JAJW
JALODARI,1,JALO
JALSA,1,JALS
JANDI,1,JAND
JANHAVI,1,JANH
JASLEEN,1,JASL
JASNAM,1,JASN
JASSI,1,JASS
JAYUSA,1,JAYU
JEEL,1,JEEL
JEIYA,1,JEIY
JENCY,1,JENC
JENYA,1,JENY
JESMITHA,1,JESM
JESRI,1,JESR
JETAL,1,JETA
JHALAK,1,JHAL
JHEEL,1,JHEE
JHILMIL,1,JHIL
JIA,1,JIA
JIAAN,1,JIAA
JIAN,1,JIAN
JIGI,1,JIGI
JIGRUKSHA,1,JIGR
JIIVITHA,1,JIIV
JILL,1,JILL
JILPA,1,JILP
JINI,1,JINI
JINKAL,1,JINK
JISSY,1,JISS
JODHA,1,JODH
JOEL,1,JOEL
JOISHI,1,JOIS
JOITA,1,JOIT
JOLY,1,JOLY
JOSITHA,1,JOSI
JOSNIKA,1,JOSN
JOSYA,1,JOSY
JOTSHNA,1,JOTS
JOWAKI,1,JOWA
JOY,1,JOY
JOYSHREE,1,JOYS
JUANA,1,JUAN
JUI,1,JUI
JUILY,1,JUIL
JUMA,1,JUMA
JVALA,1,JVAL
JYENA,1,JYEN
JYOSHNA,1,JYOS
JACHIGA,1,JACH
JACINTHA,1,JACI
JAJITHA,1,JAJI
JAJVALYA,1,JAJV
JAKKUNA,1,JAKK
JAKUNA,1,JAKU
JALLAVI,1,JALL
JALVI,1,JALV
JANCIGA,1,JANC
JAPIKSHA,1,JAPI
JAXSI,1,JAXS
JAZMIN,1,JAZM
JEAVANA,1,JEAV
JEERTHANA,1,JEER
JEJATHANSIKA,1,JEJA
JEKALA,1,JEKA
JELEENA,1,JELE
JELINA,1,JELI
JENMAYA,1,JENM
JENTHA,1,JENT
JENVITHA,1,JENV
