Name,Gender,Initials
KSHONA,1,KSHO
KSHYAMA,1,KSHY
KUDAJAADRI,1,KUDA
KUHU,1,KUHU
KUJA,1,KUJA
KUKUR,1,KUKU
KULLALI,1,KULL
KUMKUM,1,KUMK
KUNIKA,1,KUNI
KUSMITHA,1,KUSM
KUTHUHALA,1,KUTH
KUVIRA,1,KUVI
KWAISH,1,KWAI
KWINA,1,KWIN
KYATHI,1,KYAT
KYNA,1,KYNA
KYVALYA,1,KYVA
KAATHYAYINI,1,KAAT
KABOTHINI,1,KABO
KAEHITHA,1,KAEH
KAFAT,1,KAFA
KAJNI,1,KAJN
KAMCY,1,KAMC
KARCHINI,1,KARC
KASPA,1,KASP
KATPAGA,1,KATP
KAUJANYA,1,KAUJ
KAVUTHAMY,1,KAVU
KAVVYA,1,KAVV
KAYHITHA,1,KAYH
KAYLAJA,1,KAYL
KAYNAYA,1,KAYN
KAYYA,1,KAYY
KEHANI,1,KEHA
KELLYNA,1,KELL
KEMINI,1,KEMI
KENOJA,1,KENO
KENVI,1,KENV
KEVLINA,1,KEVL
KHABHILA,1,KHAB
KHEJAL,1,KHEJ
KHIMAYA,1,KHIM
KHINA,1,KHIN
KHOBIHA,1,KHOB
KHUJARA,1,KHUJ
KIHAHINI,1,KIHA
KIJAL,1,KIJA
KIM,1,KIM
KINISHA,1,KINI
KINMIKA,1,KINM
KINOJA,1,KINO
KITHA,1,KITH
KIVONA,1,KIVO
KIVSHARA,1,KIVS
KIYOSHI,1,KIYO
KOAAVANYA,1,KOAA
KOBRA,1,KOBR
KOBY,1,KOBY
KODHAIVANI,1,KODH
KOKHILA,1,KOKH
KOOJANA,1,KOOJ
KOOKILAPRIYA,1,KOOK
KOOPIKA,1,KOOP
KOOSALAI,1,KOOS
KOPERUNDEVI,1,KOPE
KORENIA,1,KORE
KOSMITA,1,KOSM
KOTESHWARI,1,KOTE
KRAJANA,1,KRAJ
KREISHKA,1,KREI
KRETHI,1,KRET
KRIA,1,KRIA
KRIJA,1,KRIJ
KRIMA,1,KRIM
KRYSTAL,1,KRYS
KSHMAA,1,KSHM
KUHENTHINI,1,KUHE
KUJENTHINI,1,KUJE
KUJITHA,1,KUJI
KUMOHANA,1,KUMO
KYALINI,1,KYAL
KYSHA,1,KYSH
LAAKINI,1,LAAK
LABANGALATA,1,LABA
LABDHI,1,LABD
LABONI,1,LABO
LABUKI,1,LABU
LADAN,1,LADA
LADHI,1,LADH
LADLI,1,LADL
LAHEERTHYA,1,LAHE
LAIBA,1,LAIB
LAINA,1,LAIN
LAJVANTI,1,LAJV
LAJWANTI,1,LAJW
LAKASHOKAVINASHINI,1,LAKA
LAKYA,1,LAKY
LALEH,1,LALE
LARISA,1,LARI
LASRITHA,1,LASR
