Name,Gender,Initials
PUKHRAJ,0,PUKH
PULAHA,0,PULA
PULIKESI,0,PULI
PULKIT,0,PULK
PULLIVAENTHAN,0,PULL
PULOMAN,0,PULO
PUNAN,0,PUNA
PUNDALIK,0,PUND
PUNEET,0,PUNE
PUNISH,0,PUNI
PUNYABRATA,0,PUNY
PURAB,0,PURA
PURNACHANDAR,0,PURN
PUROHIT,0,PURO
PURSHOTTAM,0,PURS
PURU,0,PURU
PURVABHASHINE,0,PURV
PUSAN,0,PUSA
PUSHAN,0,PUSH
PUSKARA,0,PUSK
PUSPAK,0,PUSP
PUTTA,0,PUTT
PUVANAN,0,PUVA
PUVEENTHRAN,0,PUVE
PUVI,0,PUVI
PYARE,0,PYAR
PACKIYA,0,PACK
PADHMANABAN,0,PADH
PADIRAN,0,PADI
PAHIRATHAN,0,PAHI
PAKIYARAJ,0,PAKI
PAMARAN,0,PAMA
PAMILA,0,PAMI
PANBAN,0,PANB
PANEER,0,PANE
PARGAVAN,0,PARG
PARHAN,0,PARH
PARRAVAN,0,PARR
PASKARATHAS,0,PASK
PATMARAJ,0,PATM
PAULRAJ,0,PAUL
PEERARULAN,0,PEER
PEJMAN,0,PEJM
PEMAL,0,PEMA
PEMMAN,0,PEMM
PEROLI,0,PERO
PESARKINIYAN,0,PESA
PHADMESH,0,PHAD
PHAVIN,0,PHAV
PHOSAK,0,PHOS
PHRATAB,0,PHRA
PICHANDI,0,PICH
PIJUSH,0,PIJU
PILAHARI,0,PILA
PINJGNAKAN,0,PINJ
PIREEYANKAN,0,PIRE
PIROSHAAN,0,PIRO
PIRRUNTHAN,0,PIRR
PIRYADHARSHAN,0,PIRY
PITOBASH,0,PITO
PIVESH,0,PIVE
PIYAN,0,PIYA
PLAKSH,0,PLAK
POHVANESWARAN,0,POHV
POJARAJ,0,POJA
POLILAN,0,POLI
POSIGAN,0,POSI
POURAB,0,POUR
POUSIGAN,0,POUS
POUTHRAN,0,POUT
POUVALLEN,0,POUV
POVARASU,0,POVA
POVESH,0,POVE
POVIKARAN,0,POVI
POWANESH,0,POWA
POZHILAN,0,POZH
PRAIYAALAN,0,PRAI
PREHESH,0,PREH
PREIJANTHAN,0,PREI
PREJAN,0,PREJ
PRESAD,0,PRES
PREVEEN,0,PREV
PRIEYESHAN,0,PRIE
PRIJANTHAN,0,PRIJ
PRIKALATHAN,0,PRIK
PRILANTH,0,PRIL
PRODEEP,0,PROD
PROJITH,0,PROJ
PROTTOY,0,PROT
PRTHVISELVA,0,PRTH
PRUNDHAPAN,0,PRUN
PRYNAN,0,PRYN
PULENDRAN,0,PULE
PUMESH,0,PUME
PUNNIYAN,0,PUNN
PUPATHY,0,PUPA
PURDVI,0,PURD
PUTITHAN,0,PUTI
PUUARASAN,0,PUUA
PUWAKIRTHAN,0,PUWA
