Name,Gender,Initials
GUVID,0,GUVI
GUYATHRAN,0,GUYA
HAADIYA,0,HAAD
HAARD,0,HAAR
HABIB,0,HABI
HADI,0,HADI
HAFEZ,0,HAFE
HAHN,0,HAHN
HAJESH,0,HAJE
HAKAKU,0,HAKA
HAKESH,0,HAKE
HAKSH,0,HAKS
HAKUE,0,HAKU
HALIK,0,HALI
HAMED,0,HAME
HAMID,0,HAMI
HAMRISH,0,HAMR
HANAN,0,HANA
HANEESH,0,HANE
HANISH,0,HANI
HANS,0,HANS
HANUMADAKSHITA,0,HANU
HANVESH,0,HANV
HAPPY,0,HAPP
HAR,0,HAR
HARA,0,HARA
HARBHAJAN,0,HARB
HARCHARAN,0,HARC
HARICHARAN,0,HARI
HARD,0,HARD
HAREENDRA,0,HARE
HARGUN,0,HARG
HARJAS,0,HARJ
HARKESH,0,HARK
HARMEET,0,HARM
HARNAM,0,HARN
HAROON,0,HARO
HARPRIT,0,HARP
HARRIS,0,HARR
HARSAL,0,HARS
HARTEIJ,0,HART
HARVIN,0,HARV
HARYAKSH,0,HARY
HASAN,0,HASA
HASHAN,0,HASH
HASIK,0,HASI
HASMITH,0,HASM
HASSAN,0,HASS
HAST,0,HAST
HASWANTH,0,HASW
HATISH,0,HATI
HAVAN,0,HAVA
HAVIH,0,HAVI
HAYAAN,0,HAYA
HEER,0,HEER
HEET,0,HEET
HEEVA,0,HEEV
HEM,0,HEM
HEMABINDU,0,HEMA
HEMCHANDER,0,HEMC
HEMDEV,0,HEMD
HEMEN,0,HEME
HEMIL,0,HEMI
HEMKESH,0,HEMK
HEMNATH,0,HEMN
HEMRAAJ,0,HEMR
HEMU,0,HEMU
HENIL,0,HENI
HENRIK,0,HENR
HERAK,0,HERA
HERIN,0,HERI
HET,0,HET
HETAKSH,0,HETA
HEYAVIRATHASAN,0,HEYA
HEYMANPREET,0,HEYM
HIMACHAL,0,HIMA
HIMESH,0,HIME
HIMI,0,HIMI
HIMMAT,0,HIMM
HIMNISH,0,HIMN
HIND,0,HIND
HINESH,0,HINE
HIRAK,0,HIRA
HIRDAYA,0,HIRD
HIREN,0,HIRE
HISHAL,0,HISH
HITAISH,0,HITA
HITEN,0,HITE
HITHAISHIN,0,HITH
HITRAJ,0,HITR
HODO,0,HODO
HOMAYOUN,0,HOMA
HONHAR,0,HONH
HOSHO,0,HOSH
HOUMAN,0,HOUM
HOOMAN,0,HOOM
HREHAAN,0,HREH
HREYANSH,0,HREY
HRIDAAN,0,HRID
HRIHAAN,0,HRIH
