Name,Gender,Initials
AHAAN,0,AHAA
AHACHCUDAR,0,AHAC
AHAD,0,AHAD
AHALIYAN,0,AHAL
AHAMATHI,0,AHAM
AHAR,0,AHAR
AHAVENTHAN,0,AHAV
AHI,0,AHI
AHIJIT,0,AHIJ
AHIL,0,AHIL
AHIM,0,AHIM
AHIN,0,AHIN
AHIR,0,AHIR
AHLAD,0,AHLA
AHMAD,0,AHMA
AHNAY,0,AHNA
AHREN,0,AHRE
AHROORAN,0,AHRO
AHRURAN,0,AHRU
AHSAN,0,AHSA
AHTI,0,AHTI
AIDEN,0,AIDE
AIFA,0,AIFA
AIJAZ,0,AIJA
AIKEN,0,AIKE
AIL,0,AIL
AIMAN,0,AIMA
AINESH,0,AINE
AINITOSH,0,AINI
AIRAAWAT,0,AIRA
AISHWA,0,AISH
AIYAN,0,AIYA
AIYYAPA,0,AIYY
AJAAT,0,AJAA
AJAH,0,AJAH
AJAI,0,AJAI
AJAMIL,0,AJAM
AJAN,0,AJAN
AJAT,0,AJAT
AJAY,0,AJAY
AJEESH,0,AJEE
AJENDRA,0,AJEN
AJESH,0,AJES
AJINKYA,0,AJIN
AJISH,0,AJIS
AJIT,0,AJIT
AJKHYAT,0,AJKH
AJMAL,0,AJMA
AJMIL,0,AJMI
AJNEESH,0,AJNE
AJOY,0,AJOY
AKAL,0,AKAL
AKAND,0,AKAN
AKARSH,0,AKAR
AKASH,0,AKAS
AKATHIYAN,0,AKAT
AKBAR,0,AKBA
AKEEM,0,AKEE
AKENDRA,0,AKEN
AKHALESH,0,AKHA
AKHIL,0,AKHI
AKHSAJ,0,AKHS
AKHTAR,0,AKHT
AKHURATH,0,AKHU
AKHYATH,0,AKHY
AKIF,0,AKIF
AKIL,0,AKIL
AKIRA,0,AKIR
AKKAMMA,0,AKKA
AKKRUM,0,AKKR
AKMAL,0,AKMA
AKRASH,0,AKRA
AKRISH,0,AKRI
AKROOR,0,AKRO
AKRUTI,0,AKRU
AKSH,0,AKSH
AKUL,0,AKUL
ALA,0,ALA
ALAA,0,ALAA
ALABHYA,0,ALAB
ALAGAN,0,ALAG
ALAHAN,0,ALAH
ALAKESHAN,0,ALAK
ALANKAR,0,ALAN
ALARKA,0,ALAR
ALASTAIR,0,ALAS
ALBERN,0,ALBE
ALBION,0,ALBI
ALDEN,0,ALDE
ALDIS,0,ALDI
ALDRICH,0,ALDR
ALEC,0,ALEC
ALEEM,0,ALEE
ALEK,0,ALEK
ALEXANDER,0,ALEX
ALFIE,0,ALFI
ALFRED,0,ALFR
ALGERNON,0,ALGE
ALHAD,0,ALHA
ALI,0,ALI
