Name,Gender,Initials
KERIDHARAN,0,KERI
KERSAN,0,KERS
KERUSHEN,0,KERU
KESIGAN,0,KESI
KESRI,0,KESR
KESWINDRAN,0,KESW
KEVVIN,0,KEVV
KEYSI,0,KEYS
KHAPILASH,0,KHAP
KHIBISHRAJ,0,KHIB
KHIRU,0,KHIR
KHOHULAN,0,KHOH
KHOSAL,0,KHOS
KHOUNISH,0,KHOU
KHOWSIHAN,0,KHOW
KHUNDMIR,0,KHUN
KHURINJIKAN,0,KHUR
KIASH,0,KIAS
KIBISAN,0,KIBI
KIERAN,0,KIER
KIETHAN,0,KIET
KIIRTHANN,0,KIIR
KILANAN,0,KILA
KILIVALAVAN,0,KILI
KINEESH,0,KINE
KINZEL,0,KINZ
KIPILAN,0,KIPI
KIRHORE,0,KIRH
KIRN,0,KIRN
KIROSH,0,KIRO
KIRSANTHAN,0,KIRS
KIRYAN,0,KIRY
KISKAN,0,KISK
KISOK,0,KISO
KISVANTH,0,KISV
KISWANTH,0,KISW
KITTU,0,KITT
KIVAASHAN,0,KIVA
KIVIN,0,KIVI
KNITEESH,0,KNIT
KOBANAN,0,KOBA
KOBEESHAN,0,KOBE
KOBI,0,KOBI
KODAIVALLAL,0,KODA
KODEESVARAN,0,KODE
KOGILAN,0,KOGI
KOHAN,0,KOHA
KOHENDRAN,0,KOHE
KOJAANAN,0,KOJA
KOKESH,0,KOKE
KOLLIMALAVAN,0,KOLL
KOMIKAN,0,KOMI
KONESH,0,KONE
KONGUARASAN,0,KONG
KONRAIVENTHAN,0,KONR
KOOGAN,0,KOOG
KOOMILAN,0,KOOM
KOOTHTHAN,0,KOOT
KOOVALAN,0,KOOV
KOPI,0,KOPI
KOPU,0,KOPU
KORKAI,0,KORK
KOSALAN,0,KOSA
KOSIHAN,0,KOSI
KOTAVAN,0,KOTA
KOTRAVAN,0,KOTR
KOTTAVAN,0,KOTT
KOWRIESHAN,0,KOWR
KOWTHAM,0,KOWT
KRAHASTHAN,0,KRAH
KRAKASTHAN,0,KRAK
KRASANTH,0,KRAS
KREETANYA,0,KREE
KREYANSH,0,KREY
KRIHAN,0,KRIH
KRINAY,0,KRIN
KRTHISH,0,KRTH
KRUBAN,0,KRUB
KUDRAT,0,KUDR
KUGEN,0,KUGE
KUGHEN,0,KUGH
KUHAENTHAN,0,KUHA
KUKAENTHAN,0,KUKA
KUKENTHAN,0,KUKE
KULJESH,0,KULJ
KULOTHUGAN,0,KULO
KULWANT,0,KULW
KUMEESH,0,KUME
KUNCHACKO,0,KUNC
KURESH,0,KURE
KURMI,0,KURM
KURTHAK,0,KURT
KUSELAN,0,KUSE
KUTRAALAN,0,KUTR
KUVENTHAN,0,KUVE
KUYILAN,0,KUYI
KYLAN,0,KYLA
KYLEN,0,KYLE
LAABH,0,LAAB
LAASAK,0,LAAS
