Name,Gender,Initials
PIRTHISHA,1,PIRT
PIUSHA,1,PIUS
PIVIYA,1,PIVI
PLAVA,1,PLAV
PONCHANDRA,1,PONC
POROMA,1,PORO
PORTHIKA,1,PORT
POWNIKA,1,POWN
POWRNIKA,1,POWR
PRAEMI,1,PRAE
PRAWASTHI,1,PRAW
PRIGATHI,1,PRIG
PRMALATHA,1,PRMA
PRRITHI,1,PRRI
PRSANTHINI,1,PRSA
PUCHI,1,PUCH
PUGITHA,1,PUGI
PUJHA,1,PUJH
PUKIMA,1,PUKI
PUNGKOTHEI,1,PUNG
PUSBAVALLI,1,PUSB
PUWIKA,1,PUWI
PUZHALARASI,1,PUZH
QUARRTULAIN,1,QUAR
QUEENA,1,QUEE
QUILINY,1,QUIL
QUINCY,1,QUIN
QUISHA,1,QUIS
QUKAENTHINI,1,QUKA
QURIKA,1,QURI
QUVAENTHINI,1,QUVA
RABANI,1,RABA
RABHYA,1,RABH
RADNYA,1,RADN
RAG,1,RAG
RAHNI,1,RAHN
RAI,1,RAI
RAIHANNA,1,RAIH
RAIKA,1,RAIK
RAIMA,1,RAIM
RAINA,1,RAIN
RAISA,1,RAIS
RAJLAXMI,1,RAJL
RANYA,1,RANY
RASNA,1,RASN
RASYA,1,RASY
RATCHIKA,1,RATC
RATRI,1,RATR
RATTAN,1,RATT
RAUDRAMUKHI,1,RAUD
RAVYANKI,1,RAVY
RAYYA,1,RAYY
RAZWA,1,RAZW
REA,1,REA
RECHAL,1,RECH
RECIKA,1,RECI
REEHA,1,REEH
REEJA,1,REEJ
REELA,1,REEL
REEMA,1,REEM
REENA,1,REEN
REEPAL,1,REEP
REESHA,1,REES
REHEILA,1,REHE
REJA,1,REJA
REKHA,1,REKH
REMA,1,REMA
REMI,1,REMI
REMYA,1,REMY
RENCY,1,RENC
RENZY,1,RENZ
RESMI,1,RESM
REVITHA,1,REVI
REYNA,1,REYN
RHEA,1,RHEA
RHEEYA,1,RHEE
RHITHIKA,1,RHIT
RHUTU,1,RHUT
RHYAH,1,RHYA
RIA,1,RIA
RIBHA,1,RIBH
RIMA,1,RIMA
RIMSHA,1,RIMS
RINZEN,1,RINZ
RISLUNA,1,RISL
RITSHIKA,1,RITS
ROLEE,1,ROLE
ROLI,1,ROLI
ROLY,1,ROLY
ROMOLA,1,ROMO
ROOCHIE,1,ROOC
ROOMA,1,ROOM
ROONHI,1,ROON
ROOTRA,1,ROOT
ROOYI,1,ROOY
ROSE,1,ROSE
ROSSINI,1,ROSS
ROSY,1,ROSY
ROYINA,1,ROYI
RUA,1,RUA
