Name,Gender,Initials
ANGHA,1,ANGH
ANGOORI,1,ANGO
ANI,1,ANI
ANIA,1,ANIA
ANICKA,1,ANIC
ANIHA,1,ANIH
ANIYA,1,ANIY
ANKSHIKA,1,ANKS
ANNEL,1,ANNE
ANNJAYA,1,ANNJ
ANNY,1,ANNY
ANPOLLI,1,ANPO
ANU,1,ANU
ANYUTHA,1,ANYU
AOLANI,1,AOLA
APALA,1,APAL
APAMA,1,APAM
APANAYA,1,APAN
APEKSHA,1,APEK
APEXA,1,APEX
APRA,1,APRA
APRIL,1,APRI
ARACELI,1,ARAC
ARAINA,1,ARAI
ARATHANA,1,ARAT
ARDRA,1,ARDR
ARETHY,1,ARET
AREZOU,1,AREZ
ARIIVU,1,ARII
ARIONA,1,ARIO
AROGYADA,1,AROG
AROKYA,1,AROK
AROMA,1,AROM
ARTI,1,ARTI
ARU,1,ARU
ARUP,1,ARUP
ARWA,1,ARWA
ARYNA,1,ARYN
ASAAVARI,1,ASAA
ASAH,1,ASAH
ASAWAREE,1,ASAW
ASIYA,1,ASIY
ASKINI,1,ASKI
ASNA,1,ASNA
ASSANTHI,1,ASSA
ASTA,1,ASTA
ASTHA,1,ASTH
ASYA,1,ASYA
ATEFEH,1,ATEF
ATESHA,1,ATES
ATIRA,1,ATIR
ATOOSA,1,ATOO
AUDREY,1,AUDR
AUHNA,1,AUHN
AUMNSHI,1,AUMN
AUNSHA,1,AUNS
AURONEE,1,AURO
AUSIJA,1,AUSI
AVA,1,AVA
AVAANI,1,AVAA
AVABHA,1,AVAB
AVAPYA,1,AVAP
AVENI,1,AVEN
AVHNI,1,AVHN
AVIPSA,1,AVIP
AWINITA,1,AWIN
AYASHA,1,AYAS
AYATHMI,1,AYAT
AYDA,1,AYDA
AYEESHA,1,AYEE
AYEH,1,AYEH
AYIANA,1,AYIA
AYLA,1,AYLA
AYLIN,1,AYLI
AYOTI,1,AYOT
AYUKTA,1,AYUK
AYURDA,1,AYUR
AZAM,1,AZAM
AZIZA,1,AZIZ
AZURA,1,AZUR
AAGMILA,1,AAGM
AAHRUSHIE,1,AAHR
AAILAYH,1,AAIL
AAMBAL,1,AAMB
AAMDAAL,1,AAMD
AAMEEKA,1,AAME
AASEHA,1,AASE
AAYELI,1,AAYE
ABALYA,1,ABAL
ABERA,1,ABER
ABETHA,1,ABET
ABICHANA,1,ABIC
ABIPRIYA,1,ABIP
ABUSHA,1,ABUS
ABUVAJA,1,ABUV
ABY,1,ABY
ABYRA,1,ABYR
ABYVANI,1,ABYV
ADHMAYA,1,ADHM
ADUSHA,1,ADUS
