Name,Gender,Initials
RUSIHAA,1,RUSI
RUSMATHI,1,RUSM
RUSNA,1,RUSN
RUSSANTHIKA,1,RUSS
RUWAANI,1,RUWA
RUZHNA,1,RUZH
RUZNA,1,RUZN
SAEE,1,SAEE
SAESHA,1,SAES
SAGNIKA,1,SAGN
SAHOJ,1,SAHO
SAHYA,1,SAHY
SAI,1,SAI
SALSA,1,SALS
SALVI,1,SALV
SAMTA,1,SAMT
SAON,1,SAON
SAPNA,1,SAPN
SAPUSHPA,1,SAPU
SARLA,1,SARL
SARSVATI,1,SARS
SASRI,1,SASR
TAALIKA,1,TAAL
TAANAYA,1,TAAN
TABASSUM,1,TABA
TABITHAVARTHINI,1,TABI
TABU,1,TABU
TAIUNAYA,1,TAIU
TAJ,1,TAJ
TAJAGNA,1,TAJA
TALLI,1,TALL
TALUNI,1,TALU
TAMBURA,1,TAMB
TAMMANA,1,TAMM
TAMSA,1,TAMS
TANGI,1,TANG
TANNISHTHA,1,TANN
TANSI,1,TANS
TANYA,1,TANY
TANZIL,1,TANZ
TAPNI,1,TAPN
TAPTI,1,TAPT
TARJANI,1,TARJ
TARKESHWARI,1,TARK
TARLA,1,TARL
TARNIJA,1,TARN
TARPANA,1,TARP
TATAKA,1,TATA
TATINI,1,TATI
TAUSHINI,1,TAUS
TAVLEEN,1,TAVL
TAYJA,1,TAYJ
TAYODHI,1,TAYO
TAZA,1,TAZA
TEJBIR,1,TEJB
TEJI,1,TEJI
TEJSHRI,1,TEJS
TEJU,1,TEJU
TENZIN,1,TENZ
TESHA,1,TESH
THAPASYA,1,THAP
THITIKSHA,1,THIT
THOSHIKA,1,THOS
TIANA,1,TIAN
TIARA,1,TIAR
TILIKA,1,TILI
TILOTHAMA,1,TILO
TIMSY,1,TIMS
TYNA,1,TYNA
TINGIRI,1,TING
TINKA,1,TINK
TISCHA,1,TISC
TISTA,1,TIST
TITHI,1,TITH
TITLI,1,TITL
TIYA,1,TIYA
TOMALI,1,TOMA
TORAL,1,TORA
TORSHA,1,TORS
TOYA,1,TOYA
TRARITI,1,TRAR
TRAYATHI,1,TRAY
TREESHITA,1,TREE
TREYA,1,TREY
TRIYA,1,TRIY
TRUPTI,1,TRUP
TRUSHA,1,TRUS
TULI,1,TULI
TULYA,1,TULY
TUNIL,1,TUNI
TURI,1,TURI
TURYA,1,TURY
TUSI,1,TUSI
TUSTI,1,TUST
TVARIKA,1,TVAR
TVESA,1,TVES
TVISHA,1,TVIS
TWARITA,1,TWAR
TWEETY,1,TWEE
TWINKLE,1,TWIN
