Name,Gender,Initials
DAM,0,DAM
DAMAN,0,DAMA
DAMODAR,0,DAMO
DANAN,0,DANA
DANBIR,0,DANB
DANDAK,0,DAND
DANIAL,0,DANI
DANNY,0,DANN
DANTA,0,DANT
DANUJ,0,DANU
DANVIR,0,DANV
DANYAL,0,DANY
DARA,0,DARA
DARIOUSH,0,DARI
DARPAD,0,DARP
DARREN,0,DARR
DARSH,0,DARS
DARUK,0,DARU
DARVESH,0,DARV
DAS,0,DAS
DASAN,0,DASA
DASHABAHAVE,0,DASH
DASMAYA,0,DASM
DATTA,0,DATT
DAULAT,0,DAUL
DAVASHISH,0,DAVA
DAVE,0,DAVE
DAVID,0,DAVI
DAVOOD,0,DAVO
DAX,0,DAX
DAXESH,0,DAXE
DAYA,0,DAYA
DEB,0,DEB
DEBABRATA,0,DEBA
DEBENDRA,0,DEBE
DEBJIT,0,DEBJ
DEVJEET,0,DEVJ
DECHEN,0,DECH
DEDEER,0,DEDE
DEEKSHIN,0,DEEK
DEELIP,0,DEEL
DEEN,0,DEEN
DINANATH,0,DINA
DINDAYAL,0,DIND
DEEP,0,DEEP
DIPANKAR,0,DIPA
DIPENDRA,0,DIPE
DIPTENDU,0,DIPT
DEERAJ,0,DEER
DEEVANSH,0,DEEV
DEEWAKAR,0,DEEW
DEHABHUJ,0,DEHA
DEJA,0,DEJA
DEKSHIT,0,DEKS
DENADAYAL,0,DENA
DENISH,0,DENI
DENKATSU,0,DENK
DEO,0,DEO
DEPEN,0,DEPE
DESHAK,0,DESH
DEV,0,DEV
DEVAKUMAR,0,DEVA
DEVDAS,0,DEVD
DEVBRATA,0,DEVB
DEVEEDAAS,0,DEVE
DEVIDAAS,0,DEVI
DEVGURU,0,DEVG
DEVKINANDAN,0,DEVK
DEVNARAYAN,0,DEVN
DEVPAD,0,DEVP
DEVRAAJ,0,DEVR
DEVSENA,0,DEVS
DEVVRAT,0,DEVV
DEVYAM,0,DEVY
DEWANSH,0,DEWA
DEWESH,0,DEWE
DEYAAN,0,DEYA
DEYVAYANAKANTAN,0,DEYV
DHAARAN,0,DHAA
DHADHICHI,0,DHAD
DHAERYE,0,DHAE
DHAIRYA,0,DHAI
DHAKSAN,0,DHAK
DHAM,0,DHAM
DHAN,0,DHAN
DHAR,0,DHAR
DHAVAL,0,DHAV
DHAWAL,0,DHAW
DHEEKSHITH,0,DHEE
DHEIVAMANI,0,DHEI
DHERYA,0,DHER
DHEVAN,0,DHEV
DHEY,0,DHEY
DHIKSHIT,0,DHIK
DHILAN,0,DHIL
DHIMANT,0,DHIM
DHINAK,0,DHIN
DHIPIN,0,DHIP
DHIR,0,DHIR
DHISHAN,0,DHIS
