Name,Gender,Initials
MADUR,0,MADU
MADVAN,0,MADV
MAGADH,0,MAGA
MAGESH,0,MAGE
MAGH,0,MAGH
MAGILARASAN,0,MAGI
MAHA,0,MAHA
MAHEEM,0,MAHE
MOHINDER,0,MOHI
MAHIDHAR,0,MAHI
MAHMOOD,0,MAHM
MAHNAV,0,MAHN
MAHODARA,0,MAHO
MAHRISHI,0,MAHR
MAIALAGAN,0,MAIA
MAIMAT,0,MAIM
MAINAK,0,MAIN
MAIRAV,0,MAIR
MAITRAIY,0,MAIT
MAJEED,0,MAJE
MAKAR,0,MAKA
MAKHESH,0,MAKH
MAKRAND,0,MAKR
MAKUL,0,MAKU
MALAK,0,MALA
MALESH,0,MALE
MALHAR,0,MALH
MALIK,0,MALI
MALKANT,0,MALK
MALLARAVAN,0,MALL
MALOLAN,0,MALO
MALYUKTHAN,0,MALY
MAMRAJ,0,MAMR
MAN,0,MAN
MANAAL,0,MANA
MANDAAR,0,MAND
MANEENDRA,0,MANE
MANGAL,0,MANG
MANHAN,0,MANH
MANI,0,MANI
MANJAV,0,MANJ
MANKAN,0,MANK
MANMADA,0,MANM
MANN,0,MANN
MANO,0,MANO
MANPRASAD,0,MANP
MANSH,0,MANS
MANT,0,MANT
MANU,0,MANU
MANVENDRA,0,MANV
MANWENDRA,0,MANW
MANYATA,0,MANY
MARAAL,0,MARA
MARDAV,0,MARD
MAREECH,0,MARE
MARICH,0,MARI
MARKANDAN,0,MARK
MARMIK,0,MARM
MARSH,0,MARS
MARTAND,0,MART
MARUDEVA,0,MARU
MASAR,0,MASA
MASOUD,0,MASO
MASTER,0,MAST
MAT,0,MAT
MATANGA,0,MATA
MATEAH,0,MATE
MATH,0,MATH
MATIL,0,MATI
MATRU,0,MATR
MATSENDRA,0,MATS
MAUKTIK,0,MAUK
MAULESH,0,MAUL
MAURYA,0,MAUR
MAVJI,0,MAVJ
MAWLIK,0,MAWL
MAYAMANUSHYACHARITRA,0,MAYA
MAYILAN,0,MAYI
MAYON,0,MAYO
MAYSOON,0,MAYS
MAYUK,0,MAYU
MAZHAR,0,MAZH
MEDANT,0,MEDA
MEDHAJ,0,MEDH
MEELAN,0,MEEL
MEER,0,MEER
MEET,0,MEET
MEGAMYNTHAN,0,MEGA
MEGH,0,MEGH
MEHABOOB,0,MEHA
MEHDI,0,MEHD
MEHITH,0,MEHI
MEHRAN,0,MEHR
MEHTAB,0,MEHT
MEHUL,0,MEHU
MEIYALAGAN,0,MEIY
MEKHAL,0,MEKH
MELCHIOR,0,MELC
MENAHAN,0,MENA
MENON,0,MENO
