Name,Gender,Initials
NIJUVARTHAN,0,NIJU
NIKLESH,0,NIKL
NILTHARAN,0,NILT
NILUJAN,0,NILU
NIMOSHAN,0,NIMO
NINESH,0,NINE
NINMALAN,0,NINM
NINTHAYAN,0,NINT
NIPPU,0,NIPP
NIRKESH,0,NIRK
NIRNAY,0,NIRN
NIRRANZAN,0,NIRR
NIRSAN,0,NIRS
NIRTHAKAN,0,NIRT
NISMINTH,0,NISM
NISOTH,0,NISO
NISRGA,0,NISR
NISTHI,0,NIST
NISVANTH,0,NISV
NITRAN,0,NITR
NITTHALAN,0,NITT
NITUL,0,NITU
NIVOSHAN,0,NIVO
NIVUTHAN,0,NIVU
NIVYANT,0,NIVY
NIZAMUDDEEN,0,NIZA
NIZHALGAL,0,NIZH
NOBERT,0,NOBE
NOKHILESH,0,NOKH
NOKILESH,0,NOKI
NOMIT,0,NOMI
NONU,0,NONU
NOORDEEN,0,NOOR
NORLEN,0,NORL
NORMIE,0,NORM
NORRSHANTH,0,NORR
NOSHITH,0,NOSH
NOVEEN,0,NOVE
NRISINGH,0,NRIS
NTHARUNNAWIN,0,NTHA
NUGEEVAN,0,NUGE
NUHILAN,0,NUHI
NUKILAN,0,NUKI
NUNNIYAN,0,NUNN
NURBAN,0,NURB
NURESH,0,NURE
NURJAMAL,0,NURJ
NUTHANKUMAR,0,NUTH
NUVAASH,0,NUVA
NUVISH,0,NUVI
NUWAN,0,NUWA
OBALESH,0,OBAL
OBULI,0,OBUL
OGAN,0,OGAN
OHA,0,OHA
OHAS,0,OHAS
OISIN,0,OISI
OJAS,0,OJAS
OJAYIT,0,OJAY
OJIS,0,OJIS
OJJASWIN,0,OJJA
OLIVEANTHAN,0,OLIV
OM,0,OM
OMAANSH,0,OMAA
OMANAND,0,OMAN
OMAR,0,OMAR
OMAV,0,OMAV
OMDUTT,0,OMDU
OMESA,0,OMES
OMID,0,OMID
OMEED,0,OMEE
OMISH,0,OMIS
OMJA,0,OMJA
OMKAR,0,OMKA
OMNA,0,OMNA
OMPATI,0,OMPA
OMPRAKASH,0,OMPR
OMSWAROOP,0,OMSW
ONAIN,0,ONAI
ONEESH,0,ONEE
ONIK,0,ONIK
ONIR,0,ONIR
ONIS,0,ONIS
ONKAR,0,ONKA
OOJAM,0,OOJA
OORJIT,0,OORJ
OOSAYINIYAVAN,0,OOSA
OOVIYEN,0,OOVI
OPINDER,0,OPIN
OPPILAMANI,0,OPPI
ORANG,0,ORAN
AURANG,0,AURA
ORI,0,ORI
ORION,0,ORIO
OSHO,0,OSHO
OUSHIG,0,OUSH
OVAIS,0,OVAI
OVI,0,OVI
OVIAN,0,OVIA
OVIYAN,0,OVIY
