Name,Gender,Initials
GULWANT,0,GULW
GULZAR,0,GULZ
GUNA,0,GUNA
GUNBIR,0,GUNB
GUNVEER,0,GUNV
GUNDAPA,0,GUND
GUNEET,0,GUNE
GUNIN,0,GUNI
GUNJ,0,GUNJ
GUNKAR,0,GUNK
GUNPREET,0,GUNP
GUNTAS,0,GUNT
GUNWANT,0,GUNW
GUPIL,0,GUPI
GUPTAK,0,GUPT
GURBACHAN,0,GURB
GURCHARAN,0,GURC
GURDAS,0,GURD
GURGIAN,0,GURG
GURISH,0,GURI
GURJAS,0,GURJ
GURKEERAT,0,GURK
GURLEEN,0,GURL
GURMAN,0,GURM
GURNAM,0,GURN
GURPREET,0,GURP
GURSHARAN,0,GURS
GURU,0,GURU
GYAAN,0,GYAA
GAANDEEPEN,0,GAAN
GAAYANTH,0,GAAY
GABILAN,0,GABI
GAGEN,0,GAGE
GAJHODHAR,0,GAJH
GANKATHARAN,0,GANK
GANOSH,0,GANO
GANUSHAN,0,GANU
GAPILAN,0,GAPI
GARRY,0,GARR
GARTHTHIKAN,0,GART
GAVRAV,0,GAVR
GAWSHIK,0,GAWS
GAWTHAM,0,GAWT
GAWUTHAM,0,GAWU
GEEDHARAN,0,GEED
GEESON,0,GEES
GEEVARASAN,0,GEEV
GERETHARAN,0,GERE
GEROJAN,0,GERO
GERSHAN,0,GERS
GETHISH,0,GETH
GEVA,0,GEVA
GEVIDEN,0,GEVI
GHAJAN,0,GHAJ
GHAUTTHAM,0,GHAU
GHIRISHAANTH,0,GHIR
GHOSHAN,0,GHOS
GHUHAN,0,GHUH
GHUNALAN,0,GHUN
GIKNESH,0,GIKN
GINAGAN,0,GINA
GINESH,0,GINE
GIRJESH,0,GIRJ
GIRTHISH,0,GIRT
GISANTH,0,GISA
GITHARSHAN,0,GITH
GITSH,0,GITS
GNARATHAN,0,GNAR
GNASARAN,0,GNAS
GNATHEEPAN,0,GNAT
GNSENTHIL,0,GNSE
GOBEESAN,0,GOBE
GODHARSHAN,0,GODH
GOESIKAN,0,GOES
GOHITH,0,GOHI
GOHULAN,0,GOHU
GOISHANTH,0,GOIS
GOJEN,0,GOJE
GOKILAN,0,GOKI
GOLOCHAN,0,GOLO
GOMIN,0,GOMI
GOPLILAL,0,GOPL
GOSIGAN,0,GOSI
GOTHAM,0,GOTH
GOUDHAM,0,GOUD
GOUSHIK,0,GOUS
GOVENDAN,0,GOVE
GOWARTHAN,0,GOWA
GOWDAMAN,0,GOWD
GOWMEEHAN,0,GOWM
GOWNDAMANI,0,GOWN
GRIDHARAN,0,GRID
GRIVASAN,0,GRIV
GUBENDRAN,0,GUBE
GUGHAN,0,GUGH
GUGU,0,GUGU
GUKAN,0,GUKA
GULU,0,GULU
GUMANAN,0,GUMA
GUMMADI,0,GUMM
