Name,Gender,Initials
LASUSHA,1,LASU
LASYA,1,LASY
LATA,1,LATA
LAUICA,1,LAUI
LAXANA,1,LAXA
LEEPAAKSHI,1,LEEP
LEESHA,1,LEES
LEEZA,1,LEEZ
LEHERI,1,LEHE
LEILA,1,LEIL
LEISHA,1,LEIS
LEIVINA,1,LEIV
LEKYA,1,LEKY
LENA,1,LENA
LEORA,1,LEOR
LEVINIKA,1,LEVI
LEYASAKTHI,1,LEYA
LHAMU,1,LHAM
LIBNI,1,LIBN
LILI,1,LILI
LILLIAN,1,LILL
LINNET,1,LINN
LIPI,1,LIPI
LIRA,1,LIRA
LIRTHIKA,1,LIRT
LITIKA,1,LITI
LIYA,1,LIYA
LIZA,1,LIZA
LOHANAYAKI,1,LOHA
LOLA,1,LOLA
LOLITA,1,LOLI
LONA,1,LONA
LOPA,1,LOPA
LOTICA,1,LOTI
LUCIA,1,LUCI
LUMBIKA,1,LUMB
LUNASHA,1,LUNA
LUNI,1,LUNI
LUVLEEN,1,LUVL
LYNA,1,LYNA
LAAGESHA,1,LAAG
LADCHANA,1,LADC
LAELITHA,1,LAEL
LAETISHA,1,LAET
LAGEESHA,1,LAGE
LAISHA,1,LAIS
LAJA,1,LAJA
LAKTHISHA,1,LAKT
LAMANYA,1,LAMA
LAMINI,1,LAMI
LAMRUTHA,1,LAMR
LAMYAVITI,1,LAMY
LANA,1,LANA
LANUSHA,1,LANU
LANYA,1,LANY
LARMATHA,1,LARM
LARVIKA,1,LARV
LASKMITHA,1,LASK
LASTIHA,1,LAST
LASWINI,1,LASW
LATCHANA,1,LATC
LAUHITYA,1,LAUH
LAWVANYA,1,LAWV
LAXITHA,1,LAXI
LAYI,1,LAYI
LAYLA,1,LAYL
LAZHINI,1,LAZH
LEEISHA,1,LEEI
LEERTIKA,1,LEER
LEEYANA,1,LEEY
LEGHASINI,1,LEGH
LEHGASRI,1,LEHG
LEKASHREE,1,LEKA
LELA,1,LELA
LEXIE,1,LEXI
LIASHINI,1,LIAS
LIETHA,1,LIET
LIGY,1,LIGY
LIKSITHA,1,LIKS
LIMALINI,1,LIMA
LIMISHA,1,LIMI
LIMNA,1,LIMN
LINCY,1,LINC
LIPANSHI,1,LIPA
LIRUNIGA,1,LIRU
LISOTHA,1,LISO
LITSA,1,LITS
LIVNOOR,1,LIVN
LOAHNI,1,LOAH
LOBAMUTHRA,1,LOBA
LOCKSHANA,1,LOCK
LOCY,1,LOCY
LOGHINI,1,LOGH
LOHSHEENY,1,LOHS
LOLO,1,LOLO
LOODEESHA,1,LOOD
LOREANA,1,LORE
LOTHANI,1,LOTH
LOVA,1,LOVA
LOWHA,1,LOWH
