Name,Gender,Initials
ESARA,1,ESAR
ESTHER,1,ESTH
EVALINII,1,EVAL
EYAALINI,1,EYAA
EYAL,1,EYAL
EYAZHINI,1,EYAZ
EZEKIEL,1,EZEK
FADILA,1,FADI
FAHIMA,1,FAHI
FAHEEMAH,1,FAHE
FAHMIDA,1,FAHM
FAINA,1,FAIN
FALISHA,1,FALI
FALONI,1,FALO
FANAN,1,FANA
FAQIRAH,1,FAQI
FAREEDA,1,FARE
FARKHONDEH,1,FARK
FATHIYAH,1,FATH
FAUZIA,1,FAUZ
FAWIZA,1,FAWI
FEEROZAH,1,FEER
FEEZA,1,FEEZ
FENNA,1,FENN
FERESHTEH,1,FERE
FIDA,1,FIDA
FILA,1,FILA
FIRAKI,1,FIRA
FOOLAN,1,FOOL
FORAM,1,FORA
FOROUZANDEH,1,FORO
FORUM,1,FORU
FRENY,1,FREN
FREYA,1,FREY
FRIYA,1,FRIY
FULKI,1,FULK
FULLAN,1,FULL
FULMALA,1,FULM
FAMINI,1,FAMI
FERAL,1,FERA
FINIASHWARI,1,FINI
FIONA,1,FION
FLAVINA,1,FLAV
FODRINA,1,FODR
FREEDA,1,FREE
GAATHA,1,GAAT
GAMINI,1,GAMI
GAMYA,1,GAMY
GATHA,1,GATH
GATRIKA,1,GATR
GAYLE,1,GAYL
GAYU,1,GAYU
GEASHNA,1,GEAS
GEENA,1,GEEN
GITANJALI,1,GITA
GEHENA,1,GEHE
GEHNA,1,GEHN
GELSEY,1,GELS
GESHNA,1,GESH
GEYA,1,GEYA
GHASSEDAK,1,GHAS
GHEETHI,1,GHEE
GHENA,1,GHEN
GHOMTI,1,GHOM
GOMTI,1,GOMT
GHORARUPA,1,GHOR
GINI,1,GINI
GINNI,1,GINN
GIRA,1,GIRA
GISELE,1,GISE
GITIKA,1,GITI
GIVA,1,GIVA
GIVITHA,1,GIVI
GNALAM,1,GNAL
GNAPIKA,1,GNAP
GNYA,1,GNYA
GODAVARI,1,GODA
GOLAB,1,GOLA
GOLBAHAR,1,GOLB
GOLNAR,1,GOLN
GULNAR,1,GULN
GOLSHAN,1,GOLS
GOOHARI,1,GOOH
GOOL,1,GOOL
GORI,1,GORI
GORMA,1,GORM
GOROCHANA,1,GORO
GRAAMANI,1,GRAA
GRACY,1,GRAC
GRECY,1,GREC
GREESHMA,1,GREE
GREHA,1,GREH
GRHITHA,1,GRHI
GUDDU,1,GUDD
GUDIA,1,GUDI
GUL,1,GUL
GULIKA,1,GULI
GUNGUN,1,GUNG
GUNNIKA,1,GUNN
GUNREKHA,1,GUNR
