Name,Gender,Initials
NAVEEN,0,NAVE
NAVIN,0,NAVI
NAVJOT,0,NAVJ
NAVKAR,0,NAVK
NAVNATH,0,NAVN
NAVRAJ,0,NAVR
NAVTEJ,0,NAVT
NAWAB,0,NAWA
NAYAJ,0,NAYA
NAZAR,0,NAZA
NAZIR,0,NAZI
NEAL,0,NEAL
NEDIYOON,0,NEDI
NEDUMAAN,0,NEDU
NEEHAL,0,NEEH
NEEL,0,NEEL
NEER,0,NEER
NEESH,0,NEES
NEETHAN,0,NEET
NEEV,0,NEEV
NEHAN,0,NEHA
NEIDHAL,0,NEID
NEIL,0,NEIL
NEK,0,NEK
NEMESH,0,NEME
NEMI,0,NEMI
NEOR,0,NEOR
NERIVAANAN,0,NERI
NERRIVAANAN,0,NERR
NESABALAN,0,NESA
NESSAN,0,NESS
NETHRU,0,NETH
NETIK,0,NETI
NETRATAV,0,NETR
NEVAAN,0,NEVA
NEVID,0,NEVI
NEYMISH,0,NEYM
NIAM,0,NIAM
NIBAAL,0,NIBA
NIBHIS,0,NIBH
NIBODH,0,NIBO
NICKASH,0,NICK
NIDAN,0,NIDA
NIDDHA,0,NIDD
NIDEESH,0,NIDE
NIDHAAN,0,NIDH
NIDISH,0,NIDI
NIEVESH,0,NIEV
NIGAM,0,NIGA
NIHAAL,0,NIHA
NIHIT,0,NIHI
NIJAN,0,NIJA
NIK,0,NIK
NIKAM,0,NIKA
NIKESH,0,NIKE
NIKHAEL,0,NIKH
NIKIL,0,NIKI
NIKKY,0,NIKK
NIKSH,0,NIKS
NIKUL,0,NIKU
NIL,0,NIL
NILAABAN,0,NILA
NILESH,0,NILE
NILL,0,NILL
NILOJAN,0,NILO
NILSHAN,0,NILS
NIMAI,0,NIMA
NIMESH,0,NIME
NIMISH,0,NIMI
NIMMIT,0,NIMM
NINAAD,0,NINA
NINGAPPA,0,NING
NINNIT,0,NINN
NINU,0,NINU
NIPAK,0,NIPA
NIPUN,0,NIPU
NIQILES,0,NIQI
NIRAAMAY,0,NIRA
NIRBHAY,0,NIRB
NIRDESH,0,NIRD
NIREK,0,NIRE
NIRGUNA,0,NIRG
NIRIJHAR,0,NIRI
NIRJHAR,0,NIRJ
NIRMAL,0,NIRM
NIROGI,0,NIRO
NIRUBAN,0,NIRU
NIRVA,0,NIRV
NISANTH,0,NISA
NISCHAL,0,NISC
NISH,0,NISH
NISIN,0,NISI
NISSAR,0,NISS
NISWARTH,0,NISW
NISYAANTHAN,0,NISY
NIT,0,NIT
NITARANI,0,NITA
NITEEN,0,NITE
NITHAN,0,NITH
NITIK,0,NITI
