Name,Gender,Initials
YOSNITHA,1,YOSN
YOUGINI,1,YOUG
YOUVASRI,1,YOUV
YUDAHARANI,1,YUDA
YUJITHIRA,1,YUJI
YUKSHAYA,1,YUKS
YUMAIYINI,1,YUMA
YUMEETHA,1,YUME
YUNIKA,1,YUNI
YURAESHA,1,YURA
YUREKA,1,YURE
YUVHASSHINEE,1,YUVH
YUWARSHICKA,1,YUWA
ZAAEI,1,ZAAE
ZAARA,1,ZAAR
ZAHARA,1,ZAHA
ZAHEERA,1,ZAHE
ZAHRA,1,ZAHR
ZALIKA,1,ZALI
ZANISHA,1,ZANI
ZANKAR,1,ZANK
ZARA,1,ZARA
ZAREEN,1,ZARE
ZARNA,1,ZARN
ZEEL,1,ZEEL
ZEENA,1,ZEEN
ZINAT,1,ZINA
ZENA,1,ZENA
ZENOUSHKA,1,ZENO
ZERELDA,1,ZERE
ZHALAK,1,ZHAL
ZHANVI,1,ZHAN
ZHEEL,1,ZHEE
ZIA,1,ZIA
ZISYA,1,ZISY
ZITA,1,ZITA
ZOHRA,1,ZOHR
ZOON,1,ZOON
ZORA,1,ZORA
ZOYA,1,ZOYA
ZURI,1,ZURI
ZYANNA,1,ZYAN
ZANETA,1,ZANE
ZANJANA,1,ZANJ
ZANNA,1,ZANN
ZENNA,1,ZENN
ZENSHI,1,ZENS
ZHAAMILEEY,1,ZHAA
ZHABANA,1,ZHAB
ZHAMINA,1,ZHAM
ZIHANI,1,ZIHA
ZINGA,1,ZING
ZINTHA,1,ZINT
ZOBITHA,1,ZOBI
ZOFANA,1,ZOFA
ZOFIA,1,ZOFI
ZOYEL,1,ZOYE
ZUKIRTHA,1,ZUKI
ZULAIHA,1,ZULA
ZULEKHA,1,ZULE
ZUMATHY,1,ZUMA
ZURUTHI,1,ZURU
ZUVAKA,1,ZUVA
