Name,Gender,Initials
MERAMAN,0,MERA
MERU,0,MERU
MERVIN,0,MERV
MERWIN,0,MERW
MESHANTHAN,0,MESH
METHRAN,0,METH
MEYYAN,0,MEYY
MIDHIL,0,MIDH
MIHIR,0,MIHI
MIHUNAN,0,MIHU
MIKHAEL,0,MIKH
MIKI,0,MIKI
MIKO,0,MIKO
MIKUL,0,MIKU
MIKY,0,MIKY
MILAAN,0,MILA
MILEN,0,MILE
MILIND,0,MILI
MILUN,0,MILU
MINESH,0,MINE
MINJAIYAN,0,MINJ
MIR,0,MIR
MIRANSH,0,MIRA
MIRZA,0,MIRZ
MISAL,0,MISA
MISHAY,0,MISH
MIT,0,MIT
MITABHASHINI,0,MITA
MITEN,0,MITE
MITHIL,0,MITH
MITIN,0,MITI
MITRA,0,MITR
MITTALI,0,MITT
MITUL,0,MITU
MITWA,0,MITW
MIVAAN,0,MIVA
MOD,0,MOD
MODAK,0,MODA
MOGANESH,0,MOGA
MOH,0,MOH
MOHAJIT,0,MOHA
MOHNISH,0,MOHN
MOHSEN,0,MOHS
MOHUL,0,MOHU
MOKSH,0,MOKS
MONANK,0,MONA
MONI,0,MONI
MONOJIT,0,MONO
MONTESH,0,MONT
MOOKESH,0,MOOK
MOORTHI,0,MOOR
MORAD,0,MORA
MORESHWAR,0,MORE
MORIYA,0,MORI
MORTEZA,0,MORT
MORYA,0,MORY
MOTI,0,MOTI
MOULI,0,MOUL
MOUNESH,0,MOUN
MOURYA,0,MOUR
MOUSHIMI,0,MOUS
MRANAL,0,MRAN
MRIDUK,0,MRID
MRIGA,0,MRIG
MRINAAL,0,MRIN
MRIRUNAY,0,MRIR
MRITUNJAY,0,MRIT
MRUDANG,0,MRUD
MRUG,0,MRUG
MRUTAVANARAJEEVANA,0,MRUT
MUDGAL,0,MUDG
MUDIL,0,MUDI
MUGESHAN,0,MUGE
MUGUNTHAN,0,MUGU
MUHILARASAN,0,MUHI
MUKESH,0,MUKE
MUKILAN,0,MUKI
MUKKANNAN,0,MUKK
MUKTANAND,0,MUKT
MUKUL,0,MUKU
MULKRAJ,0,MULK
MUNA,0,MUNA
MUNDAKARAMA,0,MUND
MUNEENDRA,0,MUNE
MUNI,0,MUNI
MUNJAL,0,MUNJ
MUNNA,0,MUNN
MURAAREE,0,MURA
MURGESH,0,MURG
MURLI,0,MURL
MURTHI,0,MURT
MURUGA,0,MURU
MUSIKVAHANA,0,MUSI
MUTHANNA,0,MUTH
MUTTAI,0,MUTT
MYLEN,0,MYLE
MYNTHAN,0,MYNT
MYTHRAN,0,MYTH
MAAMALLAN,0,MAAM
MAASILAN,0,MAAS
