Name,Gender,Initials
AVADH,0,AVAD
AVALOK,0,AVAL
AVAN,0,AVAN
AVARAJ,0,AVAR
AVAS,0,AVAS
AVATAR,0,AVAT
AVAYA,0,AVAY
AVDHOOT,0,AVDH
AVEEKSHITH,0,AVEE
AVERY,0,AVER
AVHIMANYU,0,AVHI
AVI,0,AVI
AVICHAL,0,AVIC
AVIGYAN,0,AVIG
AVIJIT,0,AVIJ
AVIK,0,AVIK
AVILASH,0,AVIL
AVIN,0,AVIN
AVIR,0,AVIR
AVISH,0,AVIS
AVIYUKTA,0,AVIY
AVKASH,0,AVKA
AVNEESH,0,AVNE
AVNIEL,0,AVNI
AVTAR,0,AVTA
AVYA,0,AVYA
AVYUKT,0,AVYU
AWADHESH,0,AWAD
AWAN,0,AWAN
AWAS,0,AWAS
AWDHESH,0,AWDH
AWESH,0,AWES
AXEL,0,AXEL
AYAAN,0,AYAA
AYAN,0,AYAN
AYAVANTH,0,AYAV
AYILYAM,0,AYIL
AYNGARAN,0,AYNG
AYOBAAHU,0,AYOB
AYODHYA,0,AYOD
AYOG,0,AYOG
AYUB,0,AYUB
AYUDH,0,AYUD
AYUSHMAAN,0,AYUS
AYYAN,0,AYYA
AZAD,0,AZAD
AZAR,0,AZAR
AZHAAR,0,AZHA
AAGILAN,0,AAGI
AAHEERTHAN,0,AAHE
AAIYOORAN,0,AAIY
AAJAYAN,0,AAJA
AAJISH,0,AAJI
AAKIL,0,AAKI
AAKULAN,0,AAKU
AANBU,0,AANB
AANOJ,0,AANO
AAPAL,0,AAPA
AARCHADAIYAN,0,AARC
AARESH,0,AARE
AAUSH,0,AAUS
AAYILIYAN,0,AAYI
ABAESH,0,ABAE
ABAIYAN,0,ABAI
ABAJAN,0,ABAJ
ABANINDRA,0,ABAN
ABARAJITH,0,ABAR
ABDIESO,0,ABDI
ABEISHAN,0,ABEI
ABESHEK,0,ABES
ABEYAN,0,ABEY
ABI,0,ABI
ABIBHAVA,0,ABIB
ABIENAN,0,ABIE
ABIHESHAN,0,ABIH
ABIKASH,0,ABIK
ABILAASH,0,ABIL
ABITHAN,0,ABIT
ABIYUTHAN,0,ABIY
ABOORVAN,0,ABOO
ABSHAN,0,ABSH
ABURVAN,0,ABUR
ABYLASH,0,ABYL
ABYMANYU,0,ABYM
ABYNANTH,0,ABYN
ACHCHUDAN,0,ACHC
ACHHU,0,ACHH
ACHMANI,0,ACHM
ACHSUTHAN,0,ACHS
ACSHAYAN,0,ACSH
ADAN,0,ADAN
ADCHAJAN,0,ADCH
ADHUSUDAN,0,ADHU
ADMIKAN,0,ADMI
ADSARAN,0,ADSA
ADSHARAN,0,ADSH
ADTHIYA,0,ADTH
AEGAN,0,AEGA
AERAKAN,0,AERA
AGADESVARAN,0,AGAD
