Name,Gender,Initials
EAKALAIVAN,0,EAKA
EATHAN,0,EATH
EERTHAN,0,EERT
EESAN,0,EESA
EHALAI,0,EHAL
EHATHYAN,0,EHAT
EINTHUJAN,0,EINT
EKIN,0,EKIN
ELAAMARAN,0,ELAA
ELAIYAKUMARAN,0,ELAI
ELAKKANAN,0,ELAK
ELATHARSAN,0,ELAT
ELAYAKUMAR,0,ELAY
ELENZHAYIAN,0,ELEN
ELESH,0,ELES
ELLESH,0,ELLE
ELNGOVAN,0,ELNG
ELVIN,0,ELVI
ELWOOD,0,ELWO
EMAIKARAN,0,EMAI
EMAYAVAN,0,EMAY
EMELESHWARAN,0,EMEL
EMMANUEL,0,EMMA
ENBHAVAANAN,0,ENBH
ENGUNAN,0,ENGU
ENISHAN,0,ENIS
ENNIYAN,0,ENNI
ENNURAIVAN,0,ENNU
ENTHAI,0,ENTH
ENUSHANTH,0,ENUS
ERAVANAN,0,ERAV
ERIYUTHAN,0,ERIY
ERUBAN,0,ERUB
ESANTH,0,ESAN
ESHOK,0,ESHO
ESKANDER,0,ESKA
ESVANTH,0,ESVA
ESWARA,0,ESWA
ESWITH,0,ESWI
ETHEESAN,0,ETHE
ETHUSHAN,0,ETHU
EVAYAVAN,0,EVAY
EYAMBAN,0,EYAM
EZHANSURIYAN,0,EZHA
EZHLIARASAN,0,EZHL
FAATIN,0,FAAT
FADWA,0,FADW
FAISAL,0,FAIS
FAIYAZ,0,FAIY
FAIZ,0,FAIZ
FAKARUDDIN,0,FAKA
FAKEER,0,FAKE
FAKIR,0,FAKI
FAKHRUDDIN,0,FAKH
FALAAGAM,0,FALA
FALGU,0,FALG
FAALGUN,0,FAAL
FANEESH,0,FANE
FANI,0,FANI
PHANISH,0,PHAN
FARAZ,0,FARA
FARBOD,0,FARB
FARDEEN,0,FARD
FARHAD,0,FARH
FARID,0,FARI
FARJAD,0,FARJ
FAROOQUE,0,FARO
FARROKH,0,FARR
FARSHAD,0,FARS
FARUKH,0,FARU
FARVARDIN,0,FARV
FARZAD,0,FARZ
FATEH,0,FATE
FATIK,0,FATI
FAZEL,0,FAZE
FENIL,0,FENI
FERDOWS,0,FERD
FIRDOWS,0,FIRD
FEROZ,0,FERO
FHULENDU,0,FHUL
FIROUZ,0,FIRO
FIRYAL,0,FIRY
FRANCIS,0,FRAN
FRAVASH,0,FRAV
GAALAV,0,GAAL
GADADHARA,0,GADA
GADHADHAR,0,GADH
GADIN,0,GADI
GAGAN,0,GAGA
GAGNESH,0,GAGN
GAHAN,0,GAHA
GAISH,0,GAIS
GAJ,0,GAJ
GAJAADHAR,0,GAJA
GAJBAAHU,0,GAJB
GAJDANT,0,GAJD
GAJEN,0,GAJE
GAJINDER,0,GAJI
GAJKARAN,0,GAJK
GAJPATI,0,GAJP
