Name,Gender,Initials
JEREMIA,1,JERE
JESLINA,1,JESL
JESTHA,1,JEST
JEWISHA,1,JEWI
JIASHINI,1,JIAS
JIL,1,JIL
JIMSHA,1,JIMS
JINCY,1,JINC
JINDAL,1,JIND
JINUSHNI,1,JINU
JIOSHNA,1,JIOS
JIRUSHIKA,1,JIRU
JISITHA,1,JISI
JIVYAA,1,JIVY
JOBIA,1,JOBI
JOHINI,1,JOHI
JOJITHA,1,JOJI
JOMISHA,1,JOMI
JONISHA,1,JONI
JOONIHA,1,JOON
JOPINA,1,JOPI
JOSMITHA,1,JOSM
JOSTHNA,1,JOST
JOSVI,1,JOSV
JOUFI,1,JOUF
JOVANA,1,JOVA
JRUTHVIKAA,1,JRUT
JUDI,1,JUDI
JUGISRI,1,JUGI
JULIANA,1,JULI
JUNAITA,1,JUNA
JUNUSIGA,1,JUNU
JUREEN,1,JURE
JURILAYA,1,JURI
JUSNAVI,1,JUSN
JUTHI,1,JUTH
JUVEENA,1,JUVE
KAAHINI,1,KAAH
KAAKALI,1,KAAK
KAAYA,1,KAAY
KAHINI,1,KAHI
KAHLIMA,1,KAHL
KAHTA,1,KAHT
KAIKEYI,1,KAIK
KAJJALI,1,KAJJ
KAJRI,1,KAJR
KAKALI,1,KAKA
KAKOLI,1,KAKO
KALNISHA,1,KALN
KAMNA,1,KAMN
KAMYA,1,KAMY
KANMANI,1,KANM
KANYA,1,KANY
KAPOTAKSHI,1,KAPO
KARLA,1,KARL
KASLUNIRA,1,KASL
KASMIRA,1,KASM
KASNI,1,KASN
KATELYN,1,KATE
KAUMAARI,1,KAUM
KAURWAKI,1,KAUR
KAVNI,1,KAVN
KAYRA,1,KAYR
KEEMAYA,1,KEEM
KEIA,1,KEIA
KEIYONA,1,KEIY
KEKALA,1,KEKA
KENA,1,KENA
KENSI,1,KENS
KENY,1,KENY
KEOSHA,1,KEOS
KETKI,1,KETK
KHEVNA,1,KHEV
KHISARA,1,KHIS
KHWAISH,1,KHWA
KHYATH,1,KHYA
KIARA,1,KIAR
KIMATRA,1,KIMA
KINA,1,KINA
KINJAL,1,KINJ
KINKINI,1,KINK
KIRMI,1,KIRM
KISMATHY,1,KISM
KITU,1,KITU
KIVYAA,1,KIVY
KNYASHIA,1,KNYA
KODDI,1,KODD
KOEL,1,KOEL
KOESHA,1,KOES
KONILA,1,KONI
KOORMADHI,1,KOOR
KORNAI,1,KORN
KOUMUDI,1,KOUM
KOWMARI,1,KOWM
KOYAL,1,KOYA
KOYEL,1,KOYE
KRROORAA,1,KRRO
KRSHNAVI,1,KRSH
KRUPA,1,KRUP
KSEMA,1,KSEM
