Name,Gender,Initials
RUBY,1,RUBY
RUCIRA,1,RUCI
RUGU,1,RUGU
RUKHMAMBARI,1,RUKH
RUKUMANI,1,RUKU
RULIL,1,RULI
RUMA,1,RUMA
RUMPA,1,RUMP
RUNJHUN,1,RUNJ
RUNZUN,1,RUNZ
RUTIKA,1,RUTI
RUTTI,1,RUTT
RYKA,1,RYKA
RAANIYA,1,RAAN
RACIKASHRI,1,RACI
RACKSHANA,1,RACK
RACSHANA,1,RACS
RAEANNA,1,RAEA
RAESHMA,1,RAES
RAGJITHA,1,RAGJ
RAHSHINI,1,RAHS
RAITHA,1,RAIT
RAIYA,1,RAIY
RAJWANT,1,RAJW
RAKCHANA,1,RAKC
RAMTHI,1,RAMT
RAMZANA,1,RAMZ
RARSHMITA,1,RARS
RASTIKA,1,RAST
RAXEETHA,1,RAXE
RAXSANA,1,RAXS
RAYHA,1,RAYH
RAYKA,1,RAYK
RAYNA,1,RAYN
RAYTHI,1,RAYT
REANISHA,1,REAN
REASHMI,1,REAS
REATHI,1,REAT
REBEKKA,1,REBE
RECKNA,1,RECK
REEFAA,1,REEF
REGGIE,1,REGG
REHSA,1,REHS
REIGENAH,1,REIG
REINA,1,REIN
REJI,1,REJI
REMONA,1,REMO
REMTHA,1,REMT
RENNI,1,RENN
RESNI,1,RESN
RETIHA,1,RETI
RETUHA,1,RETU
REVYA,1,REVY
REYVATHI,1,REYV
RHASINI,1,RHAS
RHEYA,1,RHEY
RHIASHINI,1,RHIA
RHOSHINI,1,RHOS
RHUVEKSHAYA,1,RHUV
RIAMI,1,RIAM
RIDUSANA,1,RIDU
RIGASHINI,1,RIGA
RIGHANA,1,RIGH
RIGITHA,1,RIGI
RIJANA,1,RIJA
RIKTISHA,1,RIKT
RIKVITHA,1,RIKV
RIMI,1,RIMI
RIMNA,1,RIMN
RINDHYA,1,RIND
RINNAH,1,RINN
RIRIKA,1,RIRI
RISBA,1,RISB
RISCHITA,1,RISC
RISMA,1,RISM
RISNIYA,1,RISN
RISONIKA,1,RISO
RISYA,1,RISY
RITYASHINI,1,RITY
RIVISHA,1,RIVI
RIZNA,1,RIZN
ROESHINI,1,ROES
ROKSHIE,1,ROKS
ROSIDHA,1,ROSI
ROSNITHA,1,ROSN
ROUPRITA,1,ROUP
ROVISHA,1,ROVI
ROXANA,1,ROXA
ROXSHANA,1,ROXS
RRATHNADEVI,1,RRAT
RRITHIKA,1,RRIT
RROHITAA,1,RROH
RUBBIKA,1,RUBB
RUDAVI,1,RUDA
RUDDRANI,1,RUDD
RUJOSANA,1,RUJO
RUKKIYA,1,RUKK
RUMILA,1,RUMI
RUPHA,1,RUPH
RUPSHIKHA,1,RUPS
