Name,Gender,Initials
SUYHARSAN,0,SUYH
SUYINTHAN,0,SUYI
SUYKARSAN,0,SUYK
SUZITHAN,0,SUZI
SWAETHAN,0,SWAE
SWEATHAN,0,SWEA
SWEPANAN,0,SWEP
SYATHUSHIKAN,0,SYAT
SYLASHAN,0,SYLA
SYNAN,0,SYNA
TAARANK,0,TAAR
TAHA,0,TAHA
TAHIR,0,TAHI
TAHOMA,0,TAHO
TAJDAR,0,TAJD
TAKSA,0,TAKS
TALAKETU,0,TALA
TALIN,0,TALI
TAMAL,0,TAMA
TAMILA,0,TAMI
TAMKINAT,0,TAMK
TAMOGHNA,0,TAMO
TAMRA,0,TAMR
TANA,0,TANA
TANDEEP,0,TAND
TANISH,0,TANI
TANMAY,0,TANM
TANU,0,TANU
TANVEER,0,TANV
TAPAN,0,TAPA
TAPENDRA,0,TAPE
TAPOMAY,0,TAPO
TARACHAND,0,TARA
TARENDRA,0,TARE
TARIK,0,TARI
TAROSH,0,TARO
TARUN,0,TARU
TASADHAREN,0,TASA
TATHAGAT,0,TATH
TATYA,0,TATY
TAUTIK,0,TAUT
TAVISH,0,TAVI
TEERTH,0,TEER
TEJ,0,TEJ
TEJAS,0,TEJA
TEJESHWAR,0,TEJE
TEJOMAY,0,TEJO
THAARAKAN,0,THAA
THAKARSHI,0,THAK
THAMAN,0,THAM
THANAN,0,THAN
THARAGAN,0,THAR
THASHANTHAN,0,THAS
THAVANESH,0,THAV
THAYAHAN,0,THAY
THEEPAN,0,THEE
THEIVENTHIRAN,0,THEI
THENNARASU,0,THEN
THESAPRIYAN,0,THES
THEYVATHASAN,0,THEY
THIKAZOAVIYAN,0,THIK
THILEEBAN,0,THIL
THINAKARAN,0,THIN
THIRAIYAN,0,THIR
THISHAAHAN,0,THIS
THIVYAN,0,THIV
THOLKAPIAN,0,THOL
THONDAMAAN,0,THON
THOORIKA,0,THOO
THRONAN,0,THRO
THULASHI,0,THUL
THURANGAN,0,THUR
THUSHANTH,0,THUS
THUVAARAHAN,0,THUV
TIJIL,0,TIJI
TILAK,0,TILA
TIMIN,0,TIMI
TIMMY,0,TIMM
TIMOTHY,0,TIMO
TIRRANAND,0,TIRR
TIRTHANKAR,0,TIRT
TIRU,0,TIRU
TISYAKETU,0,TISY
TITIR,0,TITI
TOSHAN,0,TOSH
TOYESH,0,TOYE
TRAILOKVA,0,TRAI
TRIAMBAK,0,TRIA
TRIBHUVAN,0,TRIB
TRIDEV,0,TRID
TRIGUN,0,TRIG
TRIJAL,0,TRIJ
TRIKAY,0,TRIK
TRILOCHAN,0,TRIL
TRIMAAN,0,TRIM
TRINABH,0,TRIN
TRIPUR,0,TRIP
TRISHAN,0,TRIS
TRIVIKRAM,0,TRIV
TUFAN,0,TUFA
